word,ipa,prediction
augurada,a u ɡ u ˈɾ a d a,a u ɡ u ˈɾ a d a
crie,ˈk ɾ j e,ˈk ɾ j e
agotado,a ɡ o ˈt a d o,a ɡ o ˈt a d o
sed,ˈs e d,ˈs e d
arponeadas,a ɾ p o n e ˈa d a s,a ɾ p o n e ˈa d a s
lechoso,l e ˈt͡ʃ o s o,l e ˈt͡ʃ o s o
endocraneano,e n d o k ɾ a n e ˈa n o,e n d o k ɾ a n e ˈa n o
desenchufadas,d e s e n t͡ʃ u ˈf a d a s,d e s e n t͡ʃ u ˈf a d a s
suplicamos,s u p l i ˈk a m o s,s u p l i ˈk a m o s
trombina,t ɾ o m ˈb i n a,t ɾ o m ˈb i n a
imantadas,i m a n ˈt a d a s,i m a n ˈt a d a s
titiritéele,t i t i ɾ i ˈt e e l e,t i t i ɾ i ˈt e e l e
caballera,k a b a ˈʝ e ɾ a,k a b a ˈʝ e ɾ a
absolveríais,a b s o l b e ˈɾ i a i s,a b s o l b e ˈɾ i a i s
endovascular,e n d o b a s k u ˈl a ɾ,e n d o b a s k u ˈl a ɾ
cavador,k a b a ˈd o ɾ,k a b a ˈd o ɾ
paleáramos,p a l e ˈa ɾ a m o s,p a l e ˈa ɾ a m o s
vetaste,b e ˈt a s t e,b e ˈt a s t e
premonitoria,p ɾ e m o n i ˈt o ɾ j a,p ɾ e m o n i ˈt o ɾ j a
contractualista,k o n t ɾ a ɡ t w a ˈl i s t a,k o n t ɾ a ɡ t w a ˈl i s t a
Irenea,i ɾ e ˈn e a,i ɾ e ˈn e a
prospectora,p ɾ o s p e ɡ ˈt o ɾ a,p ɾ o s p e ɡ ˈt o ɾ a
psíquico,ˈs i k i k o,ˈs i k i k o
periné,p e ɾ i ˈn e,p e ɾ i ˈn e
desgranada,d e s ɡ ɾ a ˈn a d a,d e s ɡ ɾ a ˈn a d a
toltecas,t o l ˈt e k a s,t o l ˈt e k a s
algodonadas,a l ɡ o d o ˈn a d a s,a l ɡ o d o ˈn a d a s
cleriguito,k l e ɾ i ˈɡ i t o,k l e ɾ i ˈɡ i t o
poso,ˈp o s o,ˈp o s o
peloteado,p e l o t e ˈa d o,p e l o t e ˈa d o
meditareis,m e d i ˈt a ɾ e i s,m e d i ˈt a ɾ e i s
suélenla,ˈs w e l e n l a,ˈs w e l e n l a
tonificadas,t o n i f i ˈk a d a s,t o n i f i ˈk a d a s
acobardara,a k o b a ɾ ˈd a ɾ a,a k o b a ɾ ˈd a ɾ a
predictibilidad,p ɾ e d i ɡ t i b i l i ˈd a d,p ɾ e d i ɡ t i b i l i ˈd a d
oh,ˈo,ˈo
cuartito,k w a ɾ ˈt i t o,k w a ɾ ˈt i t o
gusto,ˈɡ u s t o,ˈɡ u s t o
denotara,d e n o ˈt a ɾ a,d e n o ˈt a ɾ a
extrasistólicos,e ɡ s t ɾ a s i s ˈt o l i k o s,e ɡ s t ɾ a s i s ˈt o l i k o s
hables,ˈa b l e s,ˈa b l e s
fermentaras,f e ɾ m e n ˈt a ɾ a s,f e ɾ m e n ˈt a ɾ a s
voleo,b o ˈl e o,b o ˈl e o
neologismo,n e o l o ˈx i s m o,n e o l o ˈx i s m o
jamelgo,x a ˈm e l ɡ o,x a ˈm e l ɡ o
anuario,a ˈn w a ɾ j o,a ˈn w a ɾ j o
bastitanas,b a s t i ˈt a n a s,b a s t i ˈt a n a s
xerografiados,s e ɾ o ɡ ɾ a ˈf j a d o s,s e ɾ o ɡ ɾ a ˈf j a d o s
baremados,b a ɾ e ˈm a d o s,b a ɾ e ˈm a d o s
coventículo,k o b e n ˈt i k u l o,k o b e n ˈt i k u l o
higüero,i ˈɡ w e ɾ o,i ˈɡ w e ɾ o
crónica,ˈk ɾ o n i k a,ˈk ɾ o n i k a
débil,ˈd e b i l,ˈd e b i l
oliente,o ˈl j e n t e,o ˈl j e n t e
temeos,t e ˈm e o s,t e ˈm e o s
relampaguee,r e l a m p a ˈɡ e e,r e l a m p a ˈɡ e e
enroca,e n ˈr o k a,e n ˈr o k a
discrepadas,d i s k ɾ e ˈp a d a s,d i s k ɾ e ˈp a d a s
linfoides,l i n ˈf o i d e s,l i n ˈf o i d e s
reposados,r e p o ˈs a d o s,r e p o ˈs a d o s
necrólisis,n e ˈk ɾ o l i s i s,n e ˈk ɾ o l i s i s
Góngora,ˈɡ o n ɡ o ɾ a,ˈɡ o n ɡ o ɾ a
almarrá,a l m a ˈr a,a l m a ˈr a
posromántico,p o s r o ˈm a n t i k o,p o s r o ˈm a n t i k o
saudade,s a u ˈd a d e,s a u ˈd a d e
oiréis,o i ˈɾ e i s,o i ˈɾ e i s
remojadas,r e m o ˈx a d a s,r e m o ˈx a d a s
ladrones,l a ˈd ɾ o n e s,l a ˈd ɾ o n e s
guadaña,ɡ w a ˈd a ɲ a,ɡ w a ˈd a ɲ a
cunques,ˈk u n k e s,ˈk u n k e s
balasto,b a ˈl a s t o,b a ˈl a s t o
desajustada,d e s a x u s ˈt a d a,d e s a x u s ˈt a d a
jachapuri,x a t͡ʃ a ˈp u ɾ i,x a t͡ʃ a ˈp u ɾ i
austral,a u s ˈt ɾ a l,a u s ˈt ɾ a l
Valdemar,b a l d e ˈm a ɾ,b a l d e ˈm a ɾ
hervida,e ɾ ˈb i d a,e ɾ ˈb i d a
vidriadas,b i ˈd ɾ j a d a s,b i ˈd ɾ j a d a s
axiológico,a ɡ s j o ˈl o x i k o,a ɡ s j o ˈl o x i k o
recopilador,r e k o p i l a ˈd o ɾ,r e k o p i l a ˈd o ɾ
apuntillado,a p u n t i ˈʝ a d o,a p u n t i ˈʝ a d o
apeles,a ˈp e l e s,a ˈp e l e s
afecta,a ˈf e ɡ t a,a ˈf e ɡ t a
ternero,t e ɾ ˈn e ɾ o,t e ɾ ˈn e ɾ o
comprensible,k o m p ɾ e n ˈs i b l e,k o m p ɾ e n ˈs i b l e
granada,ɡ ɾ a ˈn a d a,ɡ ɾ a ˈn a d a
buscando,b u s ˈk a n d o,b u s ˈk a n d o
estrelladas,e s t ɾ e ˈʝ a d a s,e s t ɾ e ˈʝ a d a s
afiladera,a f i l a ˈd e ɾ a,a f i l a ˈd e ɾ a
exagera,e ɡ s a ˈx e ɾ a,e ɡ s a ˈx e ɾ a
anómalo,a ˈn o m a l o,a ˈn o m a l o
adúltera,a ˈd u l t e ɾ a,a ˈd u l t e ɾ a
traedora,t ɾ a e ˈd o ɾ a,t ɾ a e ˈd o ɾ a
humilladero,u m i ʝ a ˈd e ɾ o,u m i ʝ a ˈd e ɾ o
sobrepujaremos,s o b ɾ e p u x a ˈɾ e m o s,s o b ɾ e p u x a ˈɾ e m o s
entrevistadores,e n t ɾ e b i s t a ˈd o ɾ e s,e n t ɾ e b i s t a ˈd o ɾ e s
velaste,b e ˈl a s t e,b e ˈl a s t e
Mantua,ˈm a n t w a,ˈm a n t w a
sorpresita,s o ɾ p ɾ e ˈs i t a,s o ɾ p ɾ e ˈs i t a
antigua,a n ˈt i ɡ w a,a n ˈt i ɡ w a
monocromo,m o n o ˈk ɾ o m o,m o n o ˈk ɾ o m o
abarrotado,a b a r o ˈt a d o,a b a r o ˈt a d o
enterrares,e n t e ˈr a ɾ e s,e n t e ˈr a ɾ e s
abajar,a b a ˈx a ɾ,a b a ˈx a ɾ
blanquillo,b l a n ˈk i ʝ o,b l a n ˈk i ʝ o
escuincle,e s ˈk w i n k l e,e s ˈk w i n k l e
suma,ˈs u m a,ˈs u m a
declarares,d e k l a ˈɾ a ɾ e s,d e k l a ˈɾ a ɾ e s
elabora,e l a ˈb o ɾ a,e l a ˈb o ɾ a
cohetón,k o e ˈt o n,k o e ˈt o n
fomentémoste,f o m e n ˈt e m o s t e,f o m e n ˈt e m o s t e
poliamoroso,p o l i a m o ˈɾ o s o,p o l i a m o ˈɾ o s o
desembolsadas,d e s e m b o l ˈs a d a s,d e s e m b o l ˈs a d a s
Chile,ˈt͡ʃ i l e,ˈt͡ʃ i l e
litronas,l i ˈt ɾ o n a s,l i ˈt ɾ o n a s
cracoviano,k ɾ a k o ˈb j a n o,k ɾ a k o ˈb j a n o
peneanos,p e n e ˈa n o s,p e n e ˈa n o s
Lavapiés,ˌl a b a ˈp j e s,ˌl a b a ˈp j e s
ilinoisiano,i l i n o i ˈs j a n o,i l i n o i ˈs j a n o
latino,l a ˈt i n o,l a ˈt i n o
abatatada,a b a t a ˈt a d a,a b a t a ˈt a d a
lídar,ˈl i d a ɾ,ˈl i d a ɾ
eludes,e ˈl u d e s,e ˈl u d e s
distintiva,d i s t i n ˈt i b a,d i s t i n ˈt i b a
finco,ˈf i n k o,ˈf i n k o
vituperar,b i t u p e ˈɾ a ɾ,b i t u p e ˈɾ a ɾ
litio,ˈl i t j o,ˈl i t j o
reconfiguradas,r e k o n f i ɡ u ˈɾ a d a s,r e k o n f i ɡ u ˈɾ a d a s
enjugador,e n x u ɡ a ˈd o ɾ,e n x u ɡ a ˈd o ɾ
deltoidal,d e l t o i ˈd a l,d e l t o i ˈd a l
cacahuete,k a k a ˈw e t e,k a k a ˈw e t e
propano,p ɾ o ˈp a n o,p ɾ o ˈp a n o
retrucaste,r e t ɾ u ˈk a s t e,r e t ɾ u ˈk a s t e
lalada,l a ˈl a d a,l a ˈl a d a
reparas,r e ˈp a ɾ a s,r e ˈp a ɾ a s
confluir,k o n ˈf l w i ɾ,k o n ˈf l w i ɾ
motito,m o ˈt i t o,m o ˈt i t o
márfega,ˈm a ɾ f e ɡ a,ˈm a ɾ f e ɡ a
falsarios,f a l ˈs a ɾ j o s,f a l ˈs a ɾ j o s
virará,b i ɾ a ˈɾ a,b i ɾ a ˈɾ a
desportillar,d e s p o ɾ t i ˈʝ a ɾ,d e s p o ɾ t i ˈʝ a ɾ
encasquetado,e n k a s k e ˈt a d o,e n k a s k e ˈt a d o
Escobar,e s k o ˈb a ɾ,e s k o ˈb a ɾ
comierais,k o ˈm j e ɾ a i s,k o ˈm j e ɾ a i s
cansada,k a n ˈs a d a,k a n ˈs a d a
tener,t e ˈn e ɾ,t e ˈn e ɾ
mostraste,m o s ˈt ɾ a s t e,m o s ˈt ɾ a s t e
ecología,e k o l o ˈx i a,e k o l o ˈx i a
chachapoya,t͡ʃ a t͡ʃ a ˈp o ʝ a,t͡ʃ a t͡ʃ a ˈp o ʝ a
anticucho,a n t i ˈk u t͡ʃ o,a n t i ˈk u t͡ʃ o
viable,ˈb j a b l e,ˈb j a b l e
suntuosidad,s u n t w o s i ˈd a d,s u n t w o s i ˈd a d
escaladas,e s k a ˈl a d a s,e s k a ˈl a d a s
habitadora,a b i t a ˈd o ɾ a,a b i t a ˈd o ɾ a
predestinado,p ɾ e d e s t i ˈn a d o,p ɾ e d e s t i ˈn a d o
limitadora,l i m i t a ˈd o ɾ a,l i m i t a ˈd o ɾ a
jalapeño,x a l a ˈp e ɲ o,x a l a ˈp e ɲ o
pajarera,p a x a ˈɾ e ɾ a,p a x a ˈɾ e ɾ a
pélvica,ˈp e l b i k a,ˈp e l b i k a
membranoproliferativo,m e m b ɾ a n o p ɾ o l i f e ɾ a ˈt i b o,m e m b ɾ a n o p ɾ o l i f e ɾ a ˈt i b o
tentativa,t e n t a ˈt i b a,t e n t a ˈt i b a
actividades,a ɡ t i b i ˈd a d e s,a ɡ t i b i ˈd a d e s
chutaríamos,t͡ʃ u t a ˈɾ i a m o s,t͡ʃ u t a ˈɾ i a m o s
enripiadas,e n r i ˈp j a d a s,e n r i ˈp j a d a s
agolpado,a ɡ o l ˈp a d o,a ɡ o l ˈp a d o
tumor,t u ˈm o ɾ,t u ˈm o ɾ
quinario,k i ˈn a ɾ j o,k i ˈn a ɾ j o
jimia,ˈx i m j a,ˈx i m j a
estudiado,e s t u ˈd j a d o,e s t u ˈd j a d o
televisor,t e l e b i ˈs o ɾ,t e l e b i ˈs o ɾ
dictaminadora,d i ɡ t a m i n a ˈd o ɾ a,d i ɡ t a m i n a ˈd o ɾ a
puntilloso,p u n t i ˈʝ o s o,p u n t i ˈʝ o s o
amputado,a m p u ˈt a d o,a m p u ˈt a d o
resanar,r e s a ˈn a ɾ,r e s a ˈn a ɾ
suscrito,s u s ˈk ɾ i t o,s u s ˈk ɾ i t o
usurero,u s u ˈɾ e ɾ o,u s u ˈɾ e ɾ o
lentillo,l e n ˈt i ʝ o,l e n ˈt i ʝ o
altivo,a l ˈt i b o,a l ˈt i b o
dictablanda,d i ɡ t a ˈb l a n d a,d i ɡ t a ˈb l a n d a
aduláramos,a d u ˈl a ɾ a m o s,a d u ˈl a ɾ a m o s
sorpresivo,s o ɾ p ɾ e ˈs i b o,s o ɾ p ɾ e ˈs i b o
achicopalaos,a t͡ʃ i k o p a ˈl a o s,a t͡ʃ i k o p a ˈl a o s
coqueteado,k o k e t e ˈa d o,k o k e t e ˈa d o
morir,m o ˈɾ i ɾ,m o ˈɾ i ɾ
suinos,ˈs w i n o s,ˈs w i n o s
dimisionar,d i m i s j o ˈn a ɾ,d i m i s j o ˈn a ɾ
septiembre,s e b ˈt j e m b ɾ e,s e b ˈt j e m b ɾ e
derrochador,d e r o t͡ʃ a ˈd o ɾ,d e r o t͡ʃ a ˈd o ɾ
escamocha,e s k a ˈm o t͡ʃ a,e s k a ˈm o t͡ʃ a
enramada,e n r a ˈm a d a,e n r a ˈm a d a
autótrofo,a u ˈt o t ɾ o f o,a u ˈt o t ɾ o f o
anestesiaremos,a n e s t e s j a ˈɾ e m o s,a n e s t e s j a ˈɾ e m o s
epodo,e ˈp o d o,e ˈp o d o
focal,f o ˈk a l,f o ˈk a l
absuelto,a b ˈs w e l t o,a b ˈs w e l t o
pegar,p e ˈɡ a ɾ,p e ˈɡ a ɾ
caben,ˈk a b e n,ˈk a b e n
tejita,t e ˈx i t a,t e ˈx i t a
extrasistólica,e ɡ s t ɾ a s i s ˈt o l i k a,e ɡ s t ɾ a s i s ˈt o l i k a
burdeos,b u ɾ ˈd e o s,b u ɾ ˈd e o s
alcachofera,a l k a t͡ʃ o ˈf e ɾ a,a l k a t͡ʃ o ˈf e ɾ a
alijaste,a l i ˈx a s t e,a l i ˈx a s t e
elequeme,e l e ˈk e m e,e l e ˈk e m e
oportunísimo,o p o ɾ t u ˈn i s i m o,o p o ɾ t u ˈn i s i m o
cocotes,k o ˈk o t e s,k o ˈk o t e s
pekinesas,p e k i ˈn e s a s,p e k i ˈn e s a s
autodestruidas,a u t o d e s ˈt ɾ w i d a s,a u t o d e s ˈt ɾ w i d a s
autocorregido,a u t o k o r e ˈx i d o,a u t o k o r e ˈx i d o
grillar,ɡ ɾ i ˈʝ a ɾ,ɡ ɾ i ˈʝ a ɾ
emulsionada,e m u l s j o ˈn a d a,e m u l s j o ˈn a d a
aparo,a ˈp a ɾ o,a ˈp a ɾ o
partamos,p a ɾ ˈt a m o s,p a ɾ ˈt a m o s
reintensificada,r e i n t e n s i f i ˈk a d a,r e i n t e n s i f i ˈk a d a
husmeada,u s m e ˈa d a,u s m e ˈa d a
embargadas,e m b a ɾ ˈɡ a d a s,e m b a ɾ ˈɡ a d a s
diseñar,d i s e ˈɲ a ɾ,d i s e ˈɲ a ɾ
tirará,t i ɾ a ˈɾ a,t i ɾ a ˈɾ a
autoconvocarse,a u t o k o m b o ˈk a ɾ s e,a u t o k o m b o ˈk a ɾ s e
botáramos,b o ˈt a ɾ a m o s,b o ˈt a ɾ a m o s
domareis,d o ˈm a ɾ e i s,d o ˈm a ɾ e i s
palmita,p a l ˈm i t a,p a l ˈm i t a
trastabilleadas,t ɾ a s t a b i ʝ e ˈa d a s,t ɾ a s t a b i ʝ e ˈa d a s
duche,ˈd u t͡ʃ e,ˈd u t͡ʃ e
sorpresivamente,s o ɾ p ɾ e ˌs i b a ˈm e n t e,s o ɾ p ɾ e ˌs i b a ˈm e n t e
amañada,a m a ˈɲ a d a,a m a ˈɲ a d a
andándoles,a n ˈd a n d o l e s,a n ˈd a n d o l e s
entallador,e n t a ʝ a ˈd o ɾ,e n t a ʝ a ˈd o ɾ
jauría,x a u ˈɾ i a,x a u ˈɾ i a
regrabados,r e ɡ ɾ a ˈb a d o s,r e ɡ ɾ a ˈb a d o s
onagro,o ˈn a ɡ ɾ o,o ˈn a ɡ ɾ o
reprochamos,r e p ɾ o ˈt͡ʃ a m o s,r e p ɾ o ˈt͡ʃ a m o s
regresadas,r e ɡ ɾ e ˈs a d a s,r e ɡ ɾ e ˈs a d a s
Boluarte,b o ˈl w a ɾ t e,b o ˈl w a ɾ t e
combinare,k o m b i ˈn a ɾ e,k o m b i ˈn a ɾ e
colombina,k o l o m ˈb i n a,k o l o m ˈb i n a
esponjosos,e s p o n ˈx o s o s,e s p o n ˈx o s o s
nacatamal,n a k a t a ˈm a l,n a k a t a ˈm a l
lampasados,l a m p a ˈs a d o s,l a m p a ˈs a d o s
mandacaru,m a n d a ˈk a ɾ u,m a n d a ˈk a ɾ u
ficado,f i ˈk a d o,f i ˈk a d o
guerrilla,ɡ e ˈr i ʝ a,ɡ e ˈr i ʝ a
degenerativa,d e x e n e ɾ a ˈt i b a,d e x e n e ɾ a ˈt i b a
satisfechísimo,s a t i s f e ˈt͡ʃ i s i m o,s a t i s f e ˈt͡ʃ i s i m o
premedita,p ɾ e m e ˈd i t a,p ɾ e m e ˈd i t a
escolar,e s k o ˈl a ɾ,e s k o ˈl a ɾ
herbolarias,e ɾ b o ˈl a ɾ j a s,e ɾ b o ˈl a ɾ j a s
panadería,p a n a d e ˈɾ i a,p a n a d e ˈɾ i a
mamoneá,m a m o n e ˈa,m a m o n e ˈa
pisón,p i ˈs o n,p i ˈs o n
declamado,d e k l a ˈm a d o,d e k l a ˈm a d o
simulado,s i m u ˈl a d o,s i m u ˈl a d o
calafateados,k a l a f a t e ˈa d o s,k a l a f a t e ˈa d o s
desproveyera,d e s p ɾ o b e ˈʝ e ɾ a,d e s p ɾ o b e ˈʝ e ɾ a
calor,k a ˈl o ɾ,k a ˈl o ɾ
organismo,o ɾ ɡ a ˈn i s m o,o ɾ ɡ a ˈn i s m o
grieta,ˈɡ ɾ j e t a,ˈɡ ɾ j e t a
mosaicos,m o ˈs a i k o s,m o ˈs a i k o s
lisonjero,l i s o n ˈx e ɾ o,l i s o n ˈx e ɾ o
estaño,e s ˈt a ɲ o,e s ˈt a ɲ o
autolesionada,a u t o l e s j o ˈn a d a,a u t o l e s j o ˈn a d a
tachada,t a ˈt͡ʃ a d a,t a ˈt͡ʃ a d a
parador,p a ɾ a ˈd o ɾ,p a ɾ a ˈd o ɾ
núcleo,ˈn u k l e o,ˈn u k l e o
banderita,b a n d e ˈɾ i t a,b a n d e ˈɾ i t a
frecuentadora,f ɾ e k w e n t a ˈd o ɾ a,f ɾ e k w e n t a ˈd o ɾ a
magenta,m a ˈx e n t a,m a ˈx e n t a
voleada,b o l e ˈa d a,b o l e ˈa d a
Vito,ˈb i t o,ˈb i t o
adelitas,a d e ˈl i t a s,a d e ˈl i t a s
guineoecuatorial,ɡ i n e o e k w a t o ˈɾ j a l,ɡ i n e o e k w a t o ˈɾ j a l
incumbidas,i n k u m ˈb i d a s,i n k u m ˈb i d a s
desensillar,d e s e n s i ˈʝ a ɾ,d e s e n s i ˈʝ a ɾ
desprestigiado,d e s p ɾ e s t i ˈx j a d o,d e s p ɾ e s t i ˈx j a d o
convulsivo,k o m b u l ˈs i b o,k o m b u l ˈs i b o
miocarditis,m j o k a ɾ ˈd i t i s,m j o k a ɾ ˈd i t i s
leudo,ˈl e u d o,ˈl e u d o
Choy,ˈt͡ʃ o i,ˈt͡ʃ o i
dentudo,d e n ˈt u d o,d e n ˈt u d o
cofre,ˈk o f ɾ e,ˈk o f ɾ e
replanteados,r e p l a n t e ˈa d o s,r e p l a n t e ˈa d o s
guapo,ˈɡ w a p o,ˈɡ w a p o
jamaicanos,x a m a i ˈk a n o s,x a m a i ˈk a n o s
estaquillas,e s t a ˈk i ʝ a s,e s t a ˈk i ʝ a s
superpremiado,s u p e ɾ p ɾ e ˈm j a d o,s u p e ɾ p ɾ e ˈm j a d o
asará,a s a ˈɾ a,a s a ˈɾ a
disculpa,d i s ˈk u l p a,d i s ˈk u l p a
ministrado,m i n i s ˈt ɾ a d o,m i n i s ˈt ɾ a d o
soláis,s o ˈl a i s,s o ˈl a i s
oaxaqueño,w̝ a x a ˈk e ɲ o,w̝ a x a ˈk e ɲ o
prevaricadora,p ɾ e b a ɾ i k a ˈd o ɾ a,p ɾ e b a ɾ i k a ˈd o ɾ a
ninguneada,n i n ɡ u n e ˈa d a,n i n ɡ u n e ˈa d a
surfeados,s u ɾ f e ˈa d o s,s u ɾ f e ˈa d o s
mongolito,m o n ɡ o ˈl i t o,m o n ɡ o ˈl i t o
regule,r e ˈɡ u l e,r e ˈɡ u l e
seguradas,s e ɡ u ˈɾ a d a s,s e ɡ u ˈɾ a d a s
lloriqueados,ʝ o ɾ i k e ˈa d o s,ʝ o ɾ i k e ˈa d o s
tipológicos,t i p o ˈl o x i k o s,t i p o ˈl o x i k o s
cantanos,k a n ˈt a n o s,k a n ˈt a n o s
pellín,p e ˈʝ i n,p e ˈʝ i n
atreveríamos,a t ɾ e b e ˈɾ i a m o s,a t ɾ e b e ˈɾ i a m o s
aquitano,a k i ˈt a n o,a k i ˈt a n o
soler,s o ˈl e ɾ,s o ˈl e ɾ
corcho,ˈk o ɾ t͡ʃ o,ˈk o ɾ t͡ʃ o
sicológicas,s i k o ˈl o x i k a s,s i k o ˈl o x i k a s
conversara,k o m b e ɾ ˈs a ɾ a,k o m b e ɾ ˈs a ɾ a
apocopa,a p o ˈk o p a,a p o ˈk o p a
balleneras,b a ʝ e ˈn e ɾ a s,b a ʝ e ˈn e ɾ a s
queísmo,k e ˈi s m o,k e ˈi s m o
fosforilaremos,f o s f o ɾ i l a ˈɾ e m o s,f o s f o ɾ i l a ˈɾ e m o s
aguará,a ɡ w a ˈɾ a,a ɡ w a ˈɾ a
olimpiada,o l i m ˈp j a d a,o l i m ˈp j a d a
becuadro,b e ˈk w a d ɾ o,b e ˈk w a d ɾ o
rédito,ˈr e d i t o,ˈr e d i t o
resoluto,r e s o ˈl u t o,r e s o ˈl u t o
llamémosla,ʝ a ˈm e m o s l a,ʝ a ˈm e m o s l a
compurgamos,k o m p u ɾ ˈɡ a m o s,k o m p u ɾ ˈɡ a m o s
comuniques,k o m u ˈn i k e s,k o m u ˈn i k e s
ameba,a ˈm e b a,a ˈm e b a
filmar,f i l ˈm a ɾ,f i l ˈm a ɾ
leías,l e ˈi a s,l e ˈi a s
inmunocomprometidos,i m m u n o k o m p ɾ o m e ˈt i d o s,i m m u n o k o m p ɾ o m e ˈt i d o s
atrofiará,a t ɾ o f j a ˈɾ a,a t ɾ o f j a ˈɾ a
ultrarreligiosa,u l t ɾ a r e l i ˈx j o s a,u l t ɾ a r e l i ˈx j o s a
Piamonte,p j a ˈm o n t e,p j a ˈm o n t e
veámoslos,b e ˈa m o s l o s,b e ˈa m o s l o s
marmota,m a ɾ ˈm o t a,m a ɾ ˈm o t a
aventures,a b e n ˈt u ɾ e s,a b e n ˈt u ɾ e s
salvaguardamos,s a l b a ɡ w a ɾ ˈd a m o s,s a l b a ɡ w a ɾ ˈd a m o s
fibrinosos,f i b ɾ i ˈn o s o s,f i b ɾ i ˈn o s o s
colorada,k o l o ˈɾ a d a,k o l o ˈɾ a d a
hierosolimitano,ʝ e ɾ o s o l i m i ˈt a n o,ʝ e ɾ o s o l i m i ˈt a n o
acompañamiento,a k o m p a ɲ a ˈm j e n t o,a k o m p a ɲ a ˈm j e n t o
abstendríamos,a b s t e n ˈd ɾ i a m o s,a b s t e n ˈd ɾ i a m o s
calda,ˈk a l d a,ˈk a l d a
trilineal,t ɾ i l i n e ˈa l,t ɾ i l i n e ˈa l
daríamos,d a ˈɾ i a m o s,d a ˈɾ i a m o s
et,ˈe t,ˈe t
godo,ˈɡ o d o,ˈɡ o d o
abajadlo,a b a ˈx a d l o,a b a ˈx a d l o
remunerativo,r e m u n e ɾ a ˈt i b o,r e m u n e ɾ a ˈt i b o
emperrar,e m p e ˈr a ɾ,e m p e ˈr a ɾ
hayámoos,a ˈʝ a m o o s,a ˈʝ a m o o s
atas,ˈa t a s,ˈa t a s
desencadenador,d e s e n k a d e n a ˈd o ɾ,d e s e n k a d e n a ˈd o ɾ
acuitados,a k w i ˈt a d o s,a k w i ˈt a d o s
espesas,e s ˈp e s a s,e s ˈp e s a s
tírenla,ˈt i ɾ e n l a,ˈt i ɾ e n l a
acordándose,a k o ɾ ˈd a n d o s e,a k o ɾ ˈd a n d o s e
crac,ˈk ɾ a k,ˈk ɾ a k
postulas,p o s ˈt u l a s,p o s ˈt u l a s
protamina,p ɾ o t a ˈm i n a,p ɾ o t a ˈm i n a
blocadas,b l o ˈk a d a s,b l o ˈk a d a s
acuminadas,a k u m i ˈn a d a s,a k u m i ˈn a d a s
Amarillo,a m a ˈɾ i ʝ o,a m a ˈɾ i ʝ o
rondeña,r o n ˈd e ɲ a,r o n ˈd e ɲ a
espachurrada,e s p a t͡ʃ u ˈr a d a,e s p a t͡ʃ u ˈr a d a
Mauro,ˈm a u ɾ o,ˈm a u ɾ o
polenta,p o ˈl e n t a,p o ˈl e n t a
amargosa,a m a ɾ ˈɡ o s a,a m a ɾ ˈɡ o s a
amistado,a m i s ˈt a d o,a m i s ˈt a d o
techados,t e ˈt͡ʃ a d o s,t e ˈt͡ʃ a d o s
caxcana,k a ɡ s ˈk a n a,k a ɡ s ˈk a n a
ratificamos,r a t i f i ˈk a m o s,r a t i f i ˈk a m o s
secuestrador,s e k w e s t ɾ a ˈd o ɾ,s e k w e s t ɾ a ˈd o ɾ
trigarante,t ɾ i ɡ a ˈɾ a n t e,t ɾ i ɡ a ˈɾ a n t e
putadita,p u t a ˈd i t a,p u t a ˈd i t a
vetaros,b e ˈt a ɾ o s,b e ˈt a ɾ o s
gerontóloga,x e ɾ o n ˈt o l o ɡ a,x e ɾ o n ˈt o l o ɡ a
diptongada,d i b t o n ˈɡ a d a,d i b t o n ˈɡ a d a
divisadas,d i b i ˈs a d a s,d i b i ˈs a d a s
andaban,a n ˈd a b a n,a n ˈd a b a n
bandejita,b a n d e ˈx i t a,b a n d e ˈx i t a
subveguería,s u b b e ɡ e ˈɾ i a,s u b b e ɡ e ˈɾ i a
espinodal,e s p i n o ˈd a l,e s p i n o ˈd a l
sidonia,s i ˈd o n j a,s i ˈd o n j a
bayuca,b a ˈʝ u k a,b a ˈʝ u k a
testificar,t e s t i f i ˈk a ɾ,t e s t i f i ˈk a ɾ
enredados,e n r e ˈd a d o s,e n r e ˈd a d o s
mansega,m a n ˈs e ɡ a,m a n ˈs e ɡ a
parlamentarios,p a ɾ l a m e n ˈt a ɾ j o s,p a ɾ l a m e n ˈt a ɾ j o s
mandamiento,m a n d a ˈm j e n t o,m a n d a ˈm j e n t o
bastoneadas,b a s t o n e ˈa d a s,b a s t o n e ˈa d a s
puritanas,p u ɾ i ˈt a n a s,p u ɾ i ˈt a n a s
abadernásemos,a b a d e ɾ ˈn a s e m o s,a b a d e ɾ ˈn a s e m o s
desternilladas,d e s t e ɾ n i ˈʝ a d a s,d e s t e ɾ n i ˈʝ a d a s
arbustiva,a ɾ b u s ˈt i b a,a ɾ b u s ˈt i b a
enlutar,e n l u ˈt a ɾ,e n l u ˈt a ɾ
saquear,s a k e ˈa ɾ,s a k e ˈa ɾ
ningunos,n i n ˈɡ u n o s,n i n ˈɡ u n o s
prearmar,p ɾ e a ɾ ˈm a ɾ,p ɾ e a ɾ ˈm a ɾ
victimado,b i ɡ t i ˈm a d o,b i ɡ t i ˈm a d o
listillo,l i s ˈt i ʝ o,l i s ˈt i ʝ o
jadeados,x a d e ˈa d o s,x a d e ˈa d o s
